Title,Author,Genre,Status,Rating
Days of Distraction,Alexandra Chang,Contemporary,Want to Read,0
The Vanishing Half,Brit Bennett,Historical,Read,4
The First Fifteen Lives of Harry August,Claire North,Science Fiction,Want to Read,0
"These Violent Delights (These Violent Delights,  1)",Chloe Gong,Fantasy,Read,4
"Chain of Iron (The Last Hours,  2)",Cassandra Clare,Fantasy,Read,4
American as Paneer Pie,Supriya Kelkar,Contemporary,Want to Read,0
Ghosts of the Shadow Market,Cassandra Clare,Fantasy,Read,0
In the Dream House,Carmen Maria Machado,Non-Fiction,Want to Read,0
"A House of Rage and Sorrow (The Celestial Trilogy,  2)",Sangu Mandanna,Science Fiction,Want to Read,0
After I Do,Taylor Jenkins Reid,Contemporary,Want to Read,0
Rebecca,Daphne du Maurier,Mystery,Want to Read,0
"A Spark of White Fire (The Celestial Trilogy,  1)",Sangu Mandanna,Science Fiction,Read,3
"The Infinity Courts (The Infinity Courts,  1)",Akemi Dawn Bowman,Science Fiction,Want to Read,0
Lore,Alexandra Bracken,Fantasy,Read,4
"Muse (Muse,  1)",Brittany Cavallaro,Historical,Want to Read,0
A Taste for Love,Jennifer Yen,Romance,Want to Read,0
The Index Card: Why Personal Finance Doesn't Have to Be Complicated,Helaine Olen,Non-Fiction,Want to Read,0
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,Non-Fiction,Want to Read,0
This Is How You Lose the Time War,Amal El-Mohtar,Science Fiction,Want to Read,0
Malibu Rising,Taylor Jenkins Reid,Historical,Want to Read,0
"Legendborn (Legendborn,  1)",Tracy Deonn,Fantasy,Want to Read,0
The House in the Cerulean Sea,T.J. Klune,Fantasy,Want to Read,0
The Soulmate Equation,Christina Lauren,Romance,Want to Read,0
"Bloodleaf (Bloodleaf,  1)",Crystal  Smith,Fantasy,Read,3
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Non-Fiction,Want to Read,0
Homo Deus: A History of Tomorrow,Yuval Noah Harari,Non-Fiction,Want to Read,0
"Winterkeep (Graceling Realm,  4)",Kristin Cashore,Fantasy,Read,4
Girls of Paper and Fire (Girls of Paper and Fire  1),Natasha Ngan,Fantasy,Want to Read,0
"Crier's War (Crier's War,  1)",Nina Varela,Fantasy,Want to Read,0
My Name Is Memory,Ann Brashares,Romance,Want to Read,0
"Dread Nation (Dread Nation,  1)",Justina Ireland,Historical,Want to Read,0
Stardust,Neil Gaiman,Fantasy,Want to Read,0
House of Salt and Sorrows,Erin A. Craig,Fantasy,Want to Read,0
Children of Blood and Bone,Tomi Adeyemi,Fantasy,Want to Read,0
"The Diviners (The Diviners,  1)",Libba Bray,Historical,Want to Read,0
"Saga, Vol. 1",Brian K. Vaughan,Fantasy,Want to Read,0
"The Last Magician (The Last Magician,  1)",Lisa   Maxwell,Fantasy,Want to Read,0
"Truly Devious (Truly Devious,  1)",Maureen Johnson,Mystery,Want to Read,0
You Had Me at Hola,Alexis Daria,Contemporary,Read,4
The Dating Plan,Sara Desai,Romance,Want to Read,0
Make Up Break Up,Lily Menon,Romance,Want to Read,0
Accidentally Engaged,Farah Heron,Romance,Want to Read,0
"When Tara Met Farah (Bollywood Drama & Dance Society,  1)",Tara Pammi,Romance,Want to Read,0
Unmarriageable,Soniah Kamal,Romance,Want to Read,0
The Shaadi Set-Up,Lillie  Vale,Romance,Want to Read,0
The Subtweet,Vivek Shraya,Contemporary,Want to Read,0
The Chai Factor,Farah Heron,Contemporary,Want to Read,0
"The Right Swipe (Modern Love,  1)",Alisha Rai,Romance,Want to Read,0
Serena Singh Flips the Script,Sonya Lalli,Contemporary,Want to Read,0
The Marriage Clock,Zara Raheem,Romance,Want to Read,0
The Trouble with Hating You,Sajni Patel,Contemporary,Want to Read,0
Destination Wedding,Diksha Basu,Romance,Want to Read,0
You'll Never Believe What Happened to Lacey: Crazy Stories about Racism,Amber Ruffin,Non-Fiction,Want to Read,0
"Little Brother (Little Brother,  1)",Cory Doctorow,Science Fiction,Want to Read,0
"Mirage (Mirage,  1)",Somaiya Daud,Fantasy,Want to Read,0
Lock Every Door,Riley Sager,Mystery,Want to Read,0
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder,  1)",Holly  Jackson,Mystery,Want to Read,0
The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,Non-Fiction,Want to Read,0
Caste: The Origins of Our Discontents,Isabel Wilkerson,Non-Fiction,Want to Read,0
A Woman Is No Man,Etaf Rum,Contemporary,Read,4
Better Together,Christine Riccio,Contemporary,Want to Read,0
One Last Stop,Casey McQuiston,Romance,Want to Read,0
"Dear Martin (Dear Martin,  1)",Nic Stone,Contemporary,Want to Read,0
Dial A for Aunties,Jesse Q. Sutanto,Contemporary,Want to Read,0
"Arsenic and Adobo (Tita Rosie's Kitchen Mystery,  1)",Mia P. Manansala,Contemporary,Want to Read,0
Klara and the Sun,Kazuo Ishiguro,Science Fiction,Want to Read,0
A Pho Love Story,Loan Le,Romance,Want to Read,0
To Sleep in a Sea of Stars,Christopher Paolini,Science Fiction,Read,3
Mexican Gothic,Silvia Moreno-Garcia,Mystery,Read,3
Ties That Tether,Jane Igharo,Romance,Read,3
The Midnight Library,Matt Haig,Fantasy,Read,3
The Power,Naomi Alderman,Science Fiction,Want to Read,0
The Invisible Life of Addie LaRue,V.E. Schwab,Historical,Read,5
The Future We Choose: Surviving the Climate Crisis,Christiana Figueres,Non-Fiction,Want to Read,0
No Filter: The Inside Story of Instagram,Sarah Frier,Non-Fiction,Want to Read,0
How to Argue With a Racist: What Our Genes Do (and Don't) Say About Human Difference,Adam Rutherford,Non-Fiction,Want to Read,0
"Stamped: Racism, Antiracism, and You",Jason  Reynolds,Non-Fiction,Want to Read,0
Hood Feminism: Notes from the Women That a Movement Forgot,Mikki Kendall,Non-Fiction,Want to Read,0
"Axiom's End (Noumena,  1)",Lindsay  Ellis,Science Fiction,Want to Read,0
